model_name,MAE,RMSE,R2,MAE_rank,RMSE_rank,R2_rank,overall_rank
Baseline,86.02590267206791,93.06680772542663,-5.868277003676586,1.0,1.0,1.0,1.0
MLP,86.19667909363334,93.21854266941722,-5.890691164261871,2.0,2.0,2.0,2.0
